date,time,millis,ax,ay,az,rollrate,pitchrate,yawrate,roll,pitch,yaw,speed,course,latitude,longitude,altitude,pdop,hdop,vdop,epe,fix,satellites_view,satellites_used,temp
260314,123825300,1395837505119.146,0.2647,-0.657,-9.3843,2.713,0.5565,-18.713,1.8097,3.3195,-41.8803,2.42,324.2,51.039553,13.792498,111.52,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825300,1395837505140.156,-0.7158,-0.7844,-9.6099,2.2956,-3.0608,-17.7391,2.0463,3.2085,-42.0175,2.45,329.62,51.039553,13.792498,111.52,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825400,1395837505160.5671,-1.6964,-0.3628,-10.767,1.8086,-4.5913,-16.5565,2.2435,3.077,-42.1223,2.45,329.62,51.039553,13.792498,111.52,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825400,1395837505172.488,-0.2843,-1.1865,-9.3843,2.713,0.626,-15.4434,2.4332,2.9835,-42.1991,2.45,329.62,51.039553,13.792498,111.52,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825400,1395837505190.0151,0.2059,-0.3137,-7.6683,2.8521,0.3478,-15.026,2.6337,2.8762,-42.2685,2.45,329.62,51.039553,13.792498,111.52,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825400,1395837505219.126,-0.5687,-0.4216,-9.1588,2.3652,-3.4782,-13.2173,2.859,2.7701,-42.3022,2.45,329.62,51.039555,13.792498,111.54,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825400,1395837505239.517,-0.5393,-1.5395,-11.022,2.6434,-4.1739,-12.5217,3.0672,2.6623,-42.3213,2.49,332.11,51.039555,13.792498,111.54,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825500,1395837505260.569,-1.0394,-0.402,-9.6197,1.4608,-5.7043,-11.1304,3.3013,2.6405,-42.3089,2.49,332.11,51.039555,13.792498,111.54,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825500,1395837505272.4832,-0.8139,-0.6864,-11.0612,1.8086,-6.0521,-10.5043,3.5247,2.5434,-42.2723,2.49,332.11,51.039555,13.792498,111.54,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825500,1395837505290.051,-2.0102,-0.3039,-10.3453,1.4608,-2.713,-9.113,3.7744,2.4828,-42.2529,2.49,332.11,51.039555,13.792498,111.54,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825500,1395837505319.132,-0.657,-0.9707,-12.1693,2.1565,-1.9478,-8.0,4.0207,2.4495,-42.1895,2.49,332.11,51.039556,13.792498,111.55,2.78,2.6,0.99,4.41,3,7,5,43.6
260314,123825500,1395837505339.442,-0.8531,-2.1181,-9.1098,2.7826,0.3478,-7.0956,4.2548,2.4477,-42.119,2.5,336.5899,51.039556,13.792498,111.55,2.78,2.6,0.99,4.41,3,6,4,43.6
260314,123825600,1395837505360.6228,0.3039,-0.6079,-8.0311,2.5043,0.9739,-6.6086,4.4888,2.4091,-42.0529,2.5,336.5899,51.039556,13.792498,111.55,2.78,2.6,0.99,4.41,3,6,4,43.6
260314,123825600,1395837505372.491,1.7062,-1.667,-10.3061,2.4347,-5.1478,-6.4,4.7317,2.282,-41.9962,2.5,336.5899,51.039556,13.792498,111.55,2.78,2.6,0.99,4.41,3,6,4,43.6
260314,123825600,1395837505390.1418,-2.6574,-2.7162,-10.6003,0.5565,-6.9565,-4.7304,4.9564,2.2162,-41.8919,2.5,336.5899,51.039556,13.792498,111.55,2.78,2.6,0.99,4.41,3,6,4,43.6
260314,123825600,1395837505419.069,-1.971,-1.0982,-11.0416,0.4869,-6.8869,-3.9652,5.1926,2.1833,-41.7969,2.5,336.5899,51.039559,13.792502,111.55,2.54,2.35,0.96,4.4,3,6,4,43.6
260314,123825600,1395837505433.024,0.098,-1.1571,-11.0906,1.6,1.0434,-3.2695,5.4043,2.1145,-41.6871,2.18,354.0,51.039559,13.792502,111.55,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825700,1395837505450.677,1.8533,-1.0296,-8.9823,1.4608,0.8347,-2.6434,5.606,2.0491,-41.5418,2.18,354.0,51.039559,13.792502,111.55,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825700,1395837505470.0,-0.4412,-2.1573,-9.551,0.2782,-4.6608,-2.0173,5.8489,1.9181,-41.3959,2.18,354.0,51.039559,13.792502,111.55,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825700,1395837505490.01,-1.7748,-2.8241,-11.1887,0.0695,-6.5391,-0.9043,6.0781,1.7967,-41.2321,2.18,354.0,51.039559,13.792502,111.55,2.54,2.35,0.96,4.4,3,7,5,43.6
260314,123825700,1395837505519.144,-1.7748,-2.069,-11.2475,-1.3217,-3.2,0.0,8.1114,1.2447,-39.2046,2.18,354.0,51.039561,13.792503,111.57,4.72,3.1,3.55,4.39,3,7,5,43.6
260314,123825700,1395837505532.813,0.4804,-1.7454,-8.5999,-1.4608,0.2086,0.5565,9.7414,0.4161,-37.1125,2.2799,9.33,51.039561,13.792503,111.57,4.72,3.1,3.55,4.39,3,7,5,43.6
260314,123825800,1395837505550.582,-0.098,-1.2845,-9.6687,-2.2956,-6.0521,0.626,10.5621,-0.5651,-35.2494,2.2799,9.33,51.039561,13.792503,111.57,4.72,3.1,3.55,4.39,3,7,5,43.6
260314,123825800,1395837505570.964,-1.3924,-1.3434,-11.1887,-2.0869,-3.2695,0.6956,10.7142,-2.6115,-33.4574,2.2799,9.33,51.039561,13.792503,111.57,4.72,3.1,3.55,4.39,3,7,5,43.6
260314,123825800,1395837505590.084,-0.2647,-1.1571,-9.2078,-2.1565,0.8347,1.0434,9.8173,-2.9889,-31.9545,2.2799,9.33,51.039561,13.792503,111.57,4.72,3.1,3.55,4.39,3,7,5,43.6
260314,123825800,1395837505619.09,-1.5101,-1.4611,-9.0804,-2.6434,-3.2695,1.3913,9.7166,-3.1287,-31.7566,2.2799,9.33,51.039563,13.792508,111.58,4.72,3.1,3.56,4.38,3,7,5,43.6
260314,123825800,1395837505632.8599,-2.2553,-1.6768,-10.7376,-3.8956,-4.8,1.6695,9.6373,-3.1518,-31.5622,2.79,35.87,51.039563,13.792508,111.58,4.72,3.1,3.56,4.38,3,7,5,43.6
260314,123825900,1395837505650.6792,0.0,-1.1865,-9.9237,-3.4782,-0.2086,1.3217,9.4264,-3.2376,-31.357,2.79,35.87,51.039563,13.792508,111.58,4.72,3.1,3.56,4.38,3,7,5,43.6
260314,123825900,1395837505670.1409,0.4608,-0.5197,-9.2569,-3.6869,-2.226,1.8086,9.2325,-3.3119,-31.2443,2.79,35.87,51.039563,13.792508,111.58,4.72,3.1,3.56,4.38,3,7,5,43.6
260314,123825900,1395837505690.093,-1.3042,-0.353,-10.4728,-3.6173,-8.4173,1.5304,8.9143,-3.4474,-31.1377,2.79,35.87,51.039563,13.792508,111.58,4.72,3.1,3.56,4.38,3,7,5,43.6
260314,123825900,1395837505719.1018,0.1961,-0.2843,-9.8943,-3.3391,1.8782,0.626,8.6207,-3.5006,-31.0132,2.79,35.87,51.039567,13.792512,111.58,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123825900,1395837505738.405,0.8433,0.3726,-8.0017,-4.8,1.0434,0.3478,6.5468,-3.656,-30.1794,3.79,45.39,51.039567,13.792512,111.58,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826000,1395837505750.773,-1.5199,0.6962,-11.9437,-4.1043,-8.2782,0.2086,4.2732,-4.0029,-28.8163,3.79,45.39,51.039567,13.792512,111.58,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826000,1395837505769.988,-1.8435,-0.3432,-9.4726,-3.7565,7.1652,-0.1391,3.8148,-3.7406,-27.9182,3.79,45.39,51.039567,13.792512,111.58,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826000,1395837505790.129,0.7158,0.353,-7.8742,-4.5217,4.5217,-0.1391,3.7695,-3.4744,-27.4125,3.79,45.39,51.039567,13.792512,111.58,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826000,1395837505819.067,-1.6278,-0.2745,-11.0023,-3.5478,-8.9043,0.5565,2.1729,-3.4025,-27.1413,3.79,45.39,51.039569,13.792518,111.6,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826000,1395837505832.628,-1.6081,-1.0198,-10.3257,-2.226,2.7826,0.4869,1.9469,-3.1707,-26.8148,4.78,55.33,51.039569,13.792518,111.6,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826100,1395837505850.7249,1.8827,-0.7746,-8.6979,-2.0869,-0.7652,0.5565,1.4688,-1.5503,-26.5478,4.78,55.33,51.039569,13.792518,111.6,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826100,1395837505870.03,-0.9021,-0.4216,-12.2477,-1.4608,-8.2782,1.3913,1.0823,-1.2622,-26.446,4.78,55.33,51.039569,13.792518,111.6,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826100,1395837505890.254,2.5299,0.2647,-9.5412,-0.4173,6.2608,0.626,1.12,-1.0272,-26.4136,4.78,55.33,51.039569,13.792518,111.6,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826100,1395837505919.603,1.9612,-0.1765,-9.6687,-0.6956,-3.8956,1.113,1.4345,-0.1975,-26.4151,4.78,55.33,51.039571,13.792521,111.62,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826100,1395837505936.356,0.3334,0.2647,-11.2769,-0.9043,-2.713,0.9043,1.5599,0.2928,-26.4527,5.33,56.91,51.039571,13.792521,111.62,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826200,1395837505951.01,2.1377,0.0,-9.0019,-1.3217,5.2173,0.3478,1.8947,2.5519,-26.9036,5.33,56.91,51.039571,13.792521,111.62,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826200,1395837505970.072,1.9121,0.1568,-9.1294,-1.2521,-1.4608,0.4173,1.9925,4.3464,-27.6464,5.33,56.91,51.039571,13.792521,111.62,2.54,2.35,0.96,4.37,3,7,5,43.6
260314,123826200,1395837505990.0032,2.5593,-0.1667,-10.159,-0.4869,1.6695,0.4173,1.4212,6.4462,-28.4361,5.33,56.91,51.039571,13.792521,111.62,2.54,2.35,0.96,4.37,3,7,5,43.6
